chip,level_index,level_name,mode,threads,n,trials,gflops_best,gflops_median,wall_s,occupied

Apple M5 Pro,0,Super,super,1,2048,5,60.5620,60.4618,1.755,0
Apple M5 Pro,0,Super,super,2,2048,5,119.1374,118.9216,0.915,0
Apple M5 Pro,0,Super,super,3,2048,5,173.8598,173.0151,0.642,0
Apple M5 Pro,0,Super,super,4,2048,5,226.6353,224.7214,0.502,0
Apple M5 Pro,0,Super,super,5,2048,5,266.3592,265.0558,0.431,0

Apple M5 Pro,1,Performance,performance,1,2048,5,56.9047,56.3638,1.871,5
Apple M5 Pro,1,Performance,performance,2,2048,5,110.6223,108.2151,0.995,5
Apple M5 Pro,1,Performance,performance,3,2048,5,159.3039,155.1331,0.706,5
Apple M5 Pro,1,Performance,performance,4,2048,5,208.2277,205.9170,0.547,5
Apple M5 Pro,1,Performance,performance,5,2048,5,247.6386,237.4376,0.491,5
Apple M5 Pro,1,Performance,performance,6,2048,5,290.8968,290.4431,0.423,5
Apple M5 Pro,1,Performance,performance,7,2048,5,336.8720,328.6464,0.360,5
Apple M5 Pro,1,Performance,performance,8,2048,5,389.0229,386.4593,0.323,5
Apple M5 Pro,1,Performance,performance,9,2048,5,423.5973,408.0459,0.299,5
Apple M5 Pro,1,Performance,performance,10,2048,5,457.7052,450.5225,0.286,5

Apple M5 Pro,-1,All,all,1,2048,5,60.1888,60.0761,1.774,0
Apple M5 Pro,-1,All,all,2,2048,5,118.7302,117.9734,0.919,0
Apple M5 Pro,-1,All,all,3,2048,5,166.6866,164.6616,0.669,0
Apple M5 Pro,-1,All,all,4,2048,5,222.1841,216.0133,0.520,0
Apple M5 Pro,-1,All,all,5,2048,5,250.2463,247.2408,0.459,0
Apple M5 Pro,-1,All,all,6,2048,5,293.0062,287.1651,0.407,0
Apple M5 Pro,-1,All,all,7,2048,5,333.4607,322.1407,0.384,0
Apple M5 Pro,-1,All,all,8,2048,5,386.5223,384.2028,0.351,0
Apple M5 Pro,-1,All,all,9,2048,5,422.9758,416.5439,0.298,0
Apple M5 Pro,-1,All,all,10,2048,5,471.0578,467.5118,0.281,0
Apple M5 Pro,-1,All,all,11,2048,5,489.7224,482.6303,0.269,0
Apple M5 Pro,-1,All,all,12,2048,5,530.7111,522.7883,0.262,0
Apple M5 Pro,-1,All,all,13,2048,5,563.3937,546.4842,0.248,0
Apple M5 Pro,-1,All,all,14,2048,5,551.2891,537.8388,0.278,0
Apple M5 Pro,-1,All,all,15,2048,5,587.4330,569.5928,0.241,0
